candidate_index,matched_sample_id,projection_distance,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI,sample_id,EUIt,EG,H,weather_station,simulation_mode_x,method,scenario,seed,physical_EUIt,physical_generation_summary,physical_EG_total_production,physical_EG_consumption_purchased,physical_radiance_mean_sensor_value,physical_H_proxy,simulation_mode_y,energyplus_ok,radiance_ok,station,climate_bucket,baseline_physical_EUIt,baseline_physical_EG,baseline_physical_H,delta_EUIt_vs_baseline,delta_EG_vs_baseline,delta_H_vs_baseline
0,149,0.0,2.907986111111111,28.125,18.61111111111111,1.4392086631662044,1.999355614007262,0.6005824289130614,0.15625,0.2901492537313432,0.5263818448729632,0.1446577037609218,-16.313529905185945,1.0,149,66.0,2.092736775867307,6.606624681351279,"Dongtai, Jiangsu",fallback_analytic,,,,128.715,"{'total_production': 0.0, 'total_consumption': -2770928.056, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -2770928.056}",1.6912788480000005,-2770928.056,14.958284926280555,7.75,physical_stack_probe,True,True,Harbin,severe_cold,74.945,1.7242179840000005,8.675,53.77000000000001,-0.03293913599999998,-0.9250000000000007
1,442,0.0,1.0590277777777777,19.125,4.206896551724138,0.4220969085040089,1.1398279588454066,0.7214466164171345,0.2517361111111111,0.7065573770491803,0.9103503282487436,0.1323405594875982,4.17208601802426,8.0,442,69.3861584149749,2.608668854491549,7.85,"Dongtai, Jiangsu",fallback_analytic,,,,124.594,"{'total_production': 0.0, 'total_consumption': -1120806.944, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1120806.944}",2.889268032,-1120806.944,5.331390721791667,5.45,physical_stack_probe,True,True,Harbin,severe_cold,70.419,2.945539056,6.475,54.175,-0.05627102399999995,-1.0249999999999995
2,506,0.0,1.40625,45.375,6.48,0.523539418718132,1.0502707162055929,0.7424989834919399,0.2170138888888889,0.5567901234567901,0.6950123456790124,0.10456,5.740786560211795,8.0,506,66.88101481014009,2.85,7.85,"Dongtai, Jiangsu",fallback_analytic,,,,131.185,"{'total_production': 0.0, 'total_consumption': -1291399.167, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1291399.167}",2.202186000000001,-1291399.167,8.991119440852778,6.2,physical_stack_probe,True,True,Harbin,severe_cold,73.2,2.245075500000001,6.5,57.985,-0.0428894999999998,-0.2999999999999998
3,704,0.0,1.875,46.5,9.0,0.7322787902722523,2.458170117045136,0.6132153770406377,0.2083333333333333,0.4222222222222222,0.6541987716955336,0.1295616019019177,-7.797007941623832,4.0,704,69.54157958788505,2.5194956419841,7.199220408380192,"Dongtai, Jiangsu",fallback_analytic,,,,130.911,"{'total_production': 0.0, 'total_consumption': -1785638.333, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1785638.333}",2.255038464,-1785638.333,9.200767165302778,5.925,physical_stack_probe,True,True,Harbin,severe_cold,74.119,2.298957312,6.375,56.792,-0.04391884800000012,-0.4500000000000002
0,149,0.0,2.907986111111111,28.125,18.61111111111111,1.4392086631662044,1.999355614007262,0.6005824289130614,0.15625,0.2901492537313432,0.5263818448729632,0.1446577037609218,-16.313529905185945,1.0,149,66.0,2.092736775867307,6.606624681351279,"Dongtai, Jiangsu",fallback_analytic,,,,88.489,"{'total_production': 0.0, 'total_consumption': -2770928.056, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -2770928.056}",1.8251470080000007,-2770928.056,10.168104189502778,8.7,physical_stack_probe,True,True,Beijing,cold,74.945,1.7242179840000005,8.675,13.544000000000011,0.10092902400000026,0.02499999999999858
1,442,0.0,1.0590277777777777,19.125,4.206896551724138,0.4220969085040089,1.1398279588454066,0.7214466164171345,0.2517361111111111,0.7065573770491803,0.9103503282487436,0.1323405594875982,4.17208601802426,8.0,442,69.3861584149749,2.608668854491549,7.85,"Dongtai, Jiangsu",fallback_analytic,,,,82.455,"{'total_production': 0.0, 'total_consumption': -1120806.944, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1120806.944}",3.117959472,-1120806.944,4.269952932929722,5.85,physical_stack_probe,True,True,Beijing,cold,70.419,2.945539056,6.475,12.036000000000001,0.17242041600000002,-0.625
2,506,0.0,1.40625,45.375,6.48,0.523539418718132,1.0502707162055929,0.7424989834919399,0.2170138888888889,0.5567901234567901,0.6950123456790124,0.10456,5.740786560211795,8.0,506,66.88101481014009,2.85,7.85,"Dongtai, Jiangsu",fallback_analytic,,,,87.599,"{'total_production': 0.0, 'total_consumption': -1291399.167, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1291399.167}",2.3764935000000014,-1291399.167,6.428270629573055,6.775,physical_stack_probe,True,True,Beijing,cold,73.2,2.245075500000001,6.5,14.399000000000001,0.13141800000000048,0.27500000000000036
3,704,0.0,1.875,46.5,9.0,0.7322787902722523,2.458170117045136,0.6132153770406377,0.2083333333333333,0.4222222222222222,0.6541987716955336,0.1295616019019177,-7.797007941623832,4.0,704,69.54157958788505,2.5194956419841,7.199220408380192,"Dongtai, Jiangsu",fallback_analytic,,,,88.009,"{'total_production': 0.0, 'total_consumption': -1785638.333, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1785638.333}",2.433529343999999,-1785638.333,6.493728185175278,6.475,physical_stack_probe,True,True,Beijing,cold,74.119,2.298957312,6.375,13.89,0.134572031999999,0.09999999999999964
0,149,0.0,2.907986111111111,28.125,18.61111111111111,1.4392086631662044,1.999355614007262,0.6005824289130614,0.15625,0.2901492537313432,0.5263818448729632,0.1446577037609218,-16.313529905185945,1.0,149,66.0,2.092736775867307,6.606624681351279,"Dongtai, Jiangsu",fallback_analytic,,,,73.76,"{'total_production': 0.0, 'total_consumption': -2770928.056, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -2770928.056}",1.6811804160000006,-2770928.056,1.5854418154711112,8.5,physical_stack_probe,True,True,Guangzhou,hot_summer_warm_winter,74.945,1.7242179840000005,8.675,-1.184999999999988,-0.043037567999999915,-0.1750000000000007
1,442,0.0,1.0590277777777777,19.125,4.206896551724138,0.4220969085040089,1.1398279588454066,0.7214466164171345,0.2517361111111111,0.7065573770491803,0.9103503282487436,0.1323405594875982,4.17208601802426,8.0,442,69.3861584149749,2.608668854491549,7.85,"Dongtai, Jiangsu",fallback_analytic,,,,64.93,"{'total_production': 0.0, 'total_consumption': -1120806.944, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1120806.944}",2.872016544,-1120806.944,0.9202680293469444,6.7,physical_stack_probe,True,True,Guangzhou,hot_summer_warm_winter,70.419,2.945539056,6.475,-5.48899999999999,-0.07352251199999982,0.22500000000000053
2,506,0.0,1.40625,45.375,6.48,0.523539418718132,1.0502707162055929,0.7424989834919399,0.2170138888888889,0.5567901234567901,0.6950123456790124,0.10456,5.740786560211795,8.0,506,66.88101481014009,2.85,7.85,"Dongtai, Jiangsu",fallback_analytic,,,,70.808,"{'total_production': 0.0, 'total_consumption': -1291399.167, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1291399.167}",2.189037000000001,-1291399.167,1.1577423877538888,6.275,physical_stack_probe,True,True,Guangzhou,hot_summer_warm_winter,73.2,2.245075500000001,6.5,-2.391999999999996,-0.0560385000000001,-0.22499999999999964
3,704,0.0,1.875,46.5,9.0,0.7322787902722523,2.458170117045136,0.6132153770406377,0.2083333333333333,0.4222222222222222,0.6541987716955336,0.1295616019019177,-7.797007941623832,4.0,704,69.54157958788505,2.5194956419841,7.199220408380192,"Dongtai, Jiangsu",fallback_analytic,,,,71.298,"{'total_production': 0.0, 'total_consumption': -1785638.333, 'production_used_on_site': 0, 'production_surplus_sold': 0.0, 'consumption_purchased': -1785638.333}",2.241573888,-1785638.333,1.2004628903758334,6.45,physical_stack_probe,True,True,Guangzhou,hot_summer_warm_winter,74.119,2.298957312,6.375,-2.820999999999998,-0.05738342400000018,0.07500000000000018
