,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI
FAR,1.0,0.020809673446791972,0.9816558930691369,0.6250610105507438,0.20414575699996682,-0.09769235801858422,-0.873402710841519,-0.9444493561836654,-0.9031574894458817,0.3416312361832978,-0.006335789240903384,-0.0014566441022008574
SD,0.020809673446791972,1.0,-0.06148923228413946,0.022887742036817826,0.04961853695668678,-0.09572790584780086,0.12308671429420073,-0.1480789989190392,-0.07652266375767774,-0.06259669617827243,-0.009113669495778928,-0.051225751435534574
AF,0.9816558930691369,-0.06148923228413946,1.0,0.6071504057836481,0.17166448106206172,-0.056571828383712434,-0.9258201731809642,-0.891677300816909,-0.8714700606025185,0.362488817868578,-0.0022944315830032576,0.0011279570973966048
AR_ew,0.6250610105507438,0.022887742036817826,0.6071504057836481,1.0,-0.16507898069827082,-0.0061164433071645265,-0.5266374681550847,-0.5918571922086833,-0.5456700579976448,0.2645425168799501,-0.013086498720294328,-0.025485928373358963
AR_ns,0.20414575699996682,0.04961853695668678,0.17166448106206172,-0.16507898069827082,1.0,-0.6456960646973906,-0.0937928377429937,-0.20280018334786154,-0.17404827023864267,-0.042649528764361,-0.0003053897379767693,0.02277082330723338
SVF,-0.09769235801858422,-0.09572790584780086,-0.056571828383712434,-0.0061164433071645265,-0.6456960646973906,1.0,-0.03555241575148104,0.1003984887684046,0.05616333171037408,0.023730560632524288,0.04417828949474013,0.6421114436438479
BD,-0.873402710841519,0.12308671429420073,-0.9258201731809642,-0.5266374681550847,-0.0937928377429937,-0.03555241575148104,1.0,0.8198540898184661,0.8572210088467502,-0.37659177701793084,-0.014835971960301115,0.000890534418445483
OSR,-0.9444493561836654,-0.1480789989190392,-0.891677300816909,-0.5918571922086833,-0.20280018334786154,0.1003984887684046,0.8198540898184661,1.0,0.9573863731406795,-0.32134324178880674,-0.0009360904190042397,0.0007368510999282217
SC,-0.9031574894458817,-0.07652266375767774,-0.8714700606025185,-0.5456700579976448,-0.17404827023864267,0.05616333171037408,0.8572210088467502,0.9573863731406795,1.0,-0.17886400197913369,-0.013589555056464676,-0.004490661550643662
PAR,0.3416312361832978,-0.06259669617827243,0.362488817868578,0.2645425168799501,-0.042649528764361,0.023730560632524288,-0.37659177701793084,-0.32134324178880674,-0.17886400197913369,1.0,-0.016737980525671388,-0.04225788909708371
theta,-0.006335789240903384,-0.009113669495778928,-0.0022944315830032576,-0.013086498720294328,-0.0003053897379767693,0.04417828949474013,-0.014835971960301115,-0.0009360904190042397,-0.013589555056464676,-0.016737980525671388,1.0,0.04136370620653158
OSLI,-0.0014566441022008574,-0.051225751435534574,0.0011279570973966048,-0.025485928373358963,0.02277082330723338,0.6421114436438479,0.000890534418445483,0.0007368510999282217,-0.004490661550643662,-0.04225788909708371,0.04136370620653158,1.0
