method,scenario,rows,far_residual_rate_gt_1e-8,osr_residual_rate_gt_1e-8,osli_non_integer_rate,projection_distance_mean,projection_distance_q95,duplicate_collapse_rate
CMA-ES,Balanced_Performance,20,1.0,1.0,1.0,0.23112705333751377,0.27036920198794756,0.19999999999999996
CMA-ES,Energy_Generation_Focus,20,1.0,1.0,1.0,0.2420979274299099,0.26363682959554774,0.15000000000000002
CMA-ES,Energy_Saving_Focus,20,1.0,1.0,1.0,0.23903639396961557,0.2711672907340125,0.050000000000000044
DDPG,Balanced_Performance,20,1.0,1.0,0.7,0.32943475759588703,0.3813369050469687,0.15000000000000002
DDPG,Energy_Generation_Focus,20,1.0,1.0,0.7,0.2928327060139853,0.3924067160439909,0.09999999999999998
DDPG,Energy_Saving_Focus,20,1.0,1.0,0.6,0.28766569211420717,0.35850889026198596,0.09999999999999998
NSGA-II,NSGA-II,2000,1.0,1.0,1.0,0.19537187003828455,0.21005462253372864,0.9745
RandomSearch,Balanced_Performance,20,1.0,1.0,1.0,0.3362977558716409,0.4232016855620225,0.0
RandomSearch,Energy_Generation_Focus,20,1.0,1.0,1.0,0.32915525405224494,0.3774177602491063,0.0
RandomSearch,Energy_Saving_Focus,20,1.0,1.0,1.0,0.3194524330782842,0.3900485940484313,0.050000000000000044
