matched_sample_id,station,climate_bucket,EUIt,EG,H,physical_EUIt,physical_EG,physical_H,delta_EUIt_vs_baseline,delta_EG_vs_baseline,delta_H_vs_baseline
149,Harbin,severe_cold,66.0,2.092736775867307,6.606624681351279,128.715,1.6912788480000005,7.75,53.77000000000001,-0.0329391359999999,-0.9250000000000008
442,Harbin,severe_cold,69.3861584149749,2.608668854491549,7.85,124.594,2.889268032,5.45,54.175,-0.0562710239999999,-1.0249999999999997
506,Harbin,severe_cold,66.88101481014009,2.85,7.85,131.185,2.202186000000001,6.2,57.985,-0.0428894999999998,-0.2999999999999998
704,Harbin,severe_cold,69.54157958788505,2.5194956419841,7.199220408380192,130.911,2.255038464,5.925,56.792,-0.0439188480000001,-0.4500000000000002
149,Beijing,cold,66.0,2.092736775867307,6.606624681351279,88.489,1.8251470080000007,8.7,13.544000000000011,0.1009290240000002,0.0249999999999985
442,Beijing,cold,69.3861584149749,2.608668854491549,7.85,82.455,3.117959472,5.85,12.036,0.172420416,-0.625
506,Beijing,cold,66.88101481014009,2.85,7.85,87.599,2.3764935000000014,6.775,14.399,0.1314180000000004,0.2750000000000003
704,Beijing,cold,69.54157958788505,2.5194956419841,7.199220408380192,88.009,2.433529343999999,6.475,13.89,0.134572031999999,0.0999999999999996
149,Guangzhou,hot_summer_warm_winter,66.0,2.092736775867307,6.606624681351279,73.76,1.6811804160000006,8.5,-1.184999999999988,-0.0430375679999999,-0.1750000000000007
442,Guangzhou,hot_summer_warm_winter,69.3861584149749,2.608668854491549,7.85,64.93,2.872016544,6.7,-5.48899999999999,-0.0735225119999998,0.2250000000000005
506,Guangzhou,hot_summer_warm_winter,66.88101481014009,2.85,7.85,70.808,2.189037000000001,6.275,-2.391999999999996,-0.0560385000000001,-0.2249999999999996
704,Guangzhou,hot_summer_warm_winter,69.54157958788505,2.5194956419841,7.199220408380192,71.298,2.241573888,6.45,-2.820999999999998,-0.0573834240000001,0.0750000000000001
