candidate_index,matched_sample_id,projection_distance,method,scenario,seed,EUIt,EG,H,projected_EUIt,projected_EG,projected_H,group
0,1680,0.3551214956301589,DDPG,Balanced_Performance,0,67.57250213623047,2.7231595516204834,7.679635524749756,69.03919634571592,2.733173580967226,7.333573314161195,DDPG::Balanced_Performance
1,1449,0.3021254912760459,DDPG,Balanced_Performance,1,67.05792999267578,2.642030477523804,7.743717193603516,68.9030359434443,2.6318621795225403,7.184923143353784,DDPG::Balanced_Performance
2,866,0.2217757623480496,DDPG,Balanced_Performance,2,67.96333312988281,2.7249276638031006,7.64858865737915,69.0001618864092,2.5153027718246803,7.310924485957926,DDPG::Balanced_Performance
3,1032,0.3601362579351535,DDPG,Balanced_Performance,3,68.1377944946289,2.712786197662353,7.6853485107421875,69.51896846157659,2.6189333297142725,7.112456409544028,DDPG::Balanced_Performance
4,963,0.3517314103662838,DDPG,Balanced_Performance,4,67.50567626953125,2.7113523483276367,7.6176676750183105,69.62015261089842,2.630751044334501,7.321538919672586,DDPG::Balanced_Performance
5,1981,0.3172990053071316,DDPG,Balanced_Performance,5,67.16808319091797,2.751469135284424,7.696928024291992,68.81941452539276,2.756456990372663,7.244998420679464,DDPG::Balanced_Performance
6,899,0.324486788340507,DDPG,Balanced_Performance,6,68.13973236083984,2.7308316230773926,7.77406120300293,69.83923212695004,2.6612855122156134,7.211948816009285,DDPG::Balanced_Performance
7,1593,0.2961170410961149,DDPG,Balanced_Performance,7,68.0467300415039,2.6935038566589355,7.701174736022949,70.42625452699163,2.423461904360411,7.054296308044264,DDPG::Balanced_Performance
8,1183,0.3269486674209544,DDPG,Balanced_Performance,8,67.94053649902344,2.7115750312805176,7.719398021697998,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Balanced_Performance
9,858,0.316616411003422,DDPG,Balanced_Performance,9,67.90286254882812,2.6413612365722656,7.768172264099121,68.88267453647572,2.5494588933758227,7.438465989087597,DDPG::Balanced_Performance
10,1183,0.3490285082522685,DDPG,Balanced_Performance,10,67.43635559082031,2.659942388534546,7.659544944763184,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Balanced_Performance
11,250,0.3682214216461262,DDPG,Balanced_Performance,11,68.25617980957031,2.69052791595459,7.667447090148926,70.4043224729246,2.458487342208086,7.053859585139235,DDPG::Balanced_Performance
12,1183,0.4679704925686809,DDPG,Balanced_Performance,12,68.79367065429688,2.6222376823425293,7.599639892578125,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Balanced_Performance
13,322,0.3527535300627158,DDPG,Balanced_Performance,13,68.74353790283203,2.706934690475464,7.679839611053467,69.2565662591555,2.7475505111130647,7.177466429447271,DDPG::Balanced_Performance
14,227,0.3767772425458259,DDPG,Balanced_Performance,14,68.29475402832031,2.698664665222168,7.676735877990723,69.962649727321,2.6396941791155606,7.106352271265186,DDPG::Balanced_Performance
15,319,0.2791376289136658,DDPG,Balanced_Performance,15,67.71199798583984,2.7140889167785645,7.63407564163208,66.7935209100344,2.85,7.738870331869076,DDPG::Balanced_Performance
16,608,0.2186737864067771,DDPG,Balanced_Performance,16,66.96698760986328,2.716348886489868,7.6935296058654785,69.0317276112859,2.503145973977955,7.218167671291479,DDPG::Balanced_Performance
17,598,0.3343058232881787,DDPG,Balanced_Performance,17,67.88671112060547,2.7443947792053223,7.752227783203125,69.36760157965234,2.7561543858324224,7.430805910167399,DDPG::Balanced_Performance
18,106,0.3355320704249252,DDPG,Balanced_Performance,18,68.10196685791016,2.7028403282165527,7.713440418243408,70.05015050421306,2.616613355025465,7.282323341800359,DDPG::Balanced_Performance
19,1183,0.3339363170847554,DDPG,Balanced_Performance,19,68.45439147949219,2.699558734893799,7.638291835784912,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Balanced_Performance
20,201,0.2577973832815202,DDPG,Energy_Generation_Focus,0,69.72306823730469,2.784921407699585,7.80411958694458,69.6824186809876,2.7740441166483243,7.605008627188637,DDPG::Energy_Generation_Focus
21,1393,0.2782867440846528,DDPG,Energy_Generation_Focus,1,68.21939086914062,2.7781553268432617,7.581570625305176,70.16003132521155,2.6616624395581896,7.182338309337779,DDPG::Energy_Generation_Focus
22,698,0.431739572699097,DDPG,Energy_Generation_Focus,2,68.49625396728516,2.656277894973755,7.198214530944824,68.22666047980454,2.594194456377917,7.135831950107306,DDPG::Energy_Generation_Focus
23,1862,0.3040418638033924,DDPG,Energy_Generation_Focus,3,67.70419311523438,2.7680513858795166,7.504048347473144,67.57625376569887,2.7837816401212496,7.213391236354189,DDPG::Energy_Generation_Focus
24,1183,0.3337172369575061,DDPG,Energy_Generation_Focus,4,69.8824691772461,2.738436698913574,7.638613224029541,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Energy_Generation_Focus
25,1194,0.2289140882646093,DDPG,Energy_Generation_Focus,5,67.2633285522461,2.795984983444214,7.816663265228271,66.202826618317,2.85,7.845846481195472,DDPG::Energy_Generation_Focus
26,646,0.3351050866530421,DDPG,Energy_Generation_Focus,6,68.38665008544922,2.7385387420654297,7.644285202026367,70.45289391535302,2.714474807986268,7.148792796550449,DDPG::Energy_Generation_Focus
27,1183,0.2739458189662686,DDPG,Energy_Generation_Focus,7,68.01531982421875,2.790812492370605,7.626465320587158,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Energy_Generation_Focus
28,1661,0.1960553304324719,DDPG,Energy_Generation_Focus,8,66.35647583007812,2.840564489364624,7.807404518127441,67.47975864513155,2.7582051372795577,7.652773583282237,DDPG::Energy_Generation_Focus
29,210,0.2714486381838534,DDPG,Energy_Generation_Focus,9,68.55315399169922,2.79492449760437,7.548636436462402,69.09222035484069,2.788339623390488,7.68762995082205,DDPG::Energy_Generation_Focus
30,899,0.3768014447361323,DDPG,Energy_Generation_Focus,10,71.01171112060547,2.6850287914276123,7.501037120819092,69.83923212695004,2.6612855122156134,7.211948816009285,DDPG::Energy_Generation_Focus
31,858,0.3903365656937221,DDPG,Energy_Generation_Focus,11,69.54962921142578,2.6936755180358887,7.682233810424805,68.88267453647572,2.5494588933758227,7.438465989087597,DDPG::Energy_Generation_Focus
32,1183,0.2469797292618957,DDPG,Energy_Generation_Focus,12,67.78157043457031,2.810612201690674,7.687111854553223,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Energy_Generation_Focus
33,1442,0.3303711213180367,DDPG,Energy_Generation_Focus,13,68.53901672363281,2.736320972442627,7.5569891929626465,68.18618643558372,2.767677948683404,7.283108024487267,DDPG::Energy_Generation_Focus
34,1727,0.2506500276580276,DDPG,Energy_Generation_Focus,14,68.30326080322266,2.7575955390930176,7.68198299407959,66.28560514947492,2.827682694141156,7.748939489408036,DDPG::Energy_Generation_Focus
35,598,0.2064620075481969,DDPG,Energy_Generation_Focus,15,68.72614288330078,2.848583221435547,7.655573844909668,69.36760157965234,2.7561543858324224,7.430805910167399,DDPG::Energy_Generation_Focus
36,1652,0.3329064602952059,DDPG,Energy_Generation_Focus,16,68.87875366210938,2.73011326789856,7.301785469055176,69.03465297592443,2.590981814750692,7.182971484696669,DDPG::Energy_Generation_Focus
37,237,0.2646439441403448,DDPG,Energy_Generation_Focus,17,67.25682067871094,2.728671073913574,7.768708229064941,66.99101535549546,2.85,7.85,DDPG::Energy_Generation_Focus
38,834,0.3137118652064766,DDPG,Energy_Generation_Focus,18,68.47071075439453,2.75089430809021,7.459368705749512,67.5756571987156,2.835433597074712,7.449297490258757,DDPG::Energy_Generation_Focus
39,1151,0.2327391910952519,DDPG,Energy_Generation_Focus,19,68.16679382324219,2.822303056716919,7.782963752746582,66.10265287145228,2.85,7.85,DDPG::Energy_Generation_Focus
40,866,0.2954461471673928,DDPG,Energy_Saving_Focus,0,67.65015411376953,2.7732372283935547,7.695892333984375,69.0001618864092,2.5153027718246803,7.310924485957926,DDPG::Energy_Saving_Focus
41,1006,0.284851244874893,DDPG,Energy_Saving_Focus,1,66.90416717529297,2.6665663719177246,7.534226894378662,67.57280108584219,2.472401748202705,7.338355602503479,DDPG::Energy_Saving_Focus
42,112,0.2818253923106603,DDPG,Energy_Saving_Focus,2,66.73548126220703,2.729193210601806,7.616369724273682,66.831100510086,2.8097735268377844,7.316284384044597,DDPG::Energy_Saving_Focus
43,1645,0.2982165267666549,DDPG,Energy_Saving_Focus,3,66.9012222290039,2.7450592517852783,7.54567289352417,69.07336340381059,2.563465386763526,7.05827122735363,DDPG::Energy_Saving_Focus
44,922,0.2010050358563584,DDPG,Energy_Saving_Focus,4,66.60298919677734,2.749496459960937,7.177362442016602,69.26674686894052,2.3971209859442872,6.77987472663787,DDPG::Energy_Saving_Focus
45,1862,0.2132977500310326,DDPG,Energy_Saving_Focus,5,67.19161987304688,2.796867847442627,7.443614959716797,67.57625376569887,2.7837816401212496,7.213391236354189,DDPG::Energy_Saving_Focus
46,1862,0.2372257884642687,DDPG,Energy_Saving_Focus,6,66.49874114990234,2.7844603061676025,7.516775608062744,67.57625376569887,2.7837816401212496,7.213391236354189,DDPG::Energy_Saving_Focus
47,822,0.2930619823561943,DDPG,Energy_Saving_Focus,7,67.2199935913086,2.681175470352173,7.461755275726318,68.85415016252911,2.5928345009242526,6.9819755251383935,DDPG::Energy_Saving_Focus
48,817,0.3957531848021566,DDPG,Energy_Saving_Focus,8,68.18694305419922,2.564023733139038,7.555535793304443,68.23034046070967,2.4837200391430723,6.986686370126178,DDPG::Energy_Saving_Focus
49,5,0.301010442659212,DDPG,Energy_Saving_Focus,9,67.3833236694336,2.6962575912475586,7.441028594970703,69.40397268785048,2.5527065468534897,6.944485082291167,DDPG::Energy_Saving_Focus
50,608,0.3181216630470228,DDPG,Energy_Saving_Focus,10,67.17500305175781,2.5622572898864746,7.533969402313232,69.0317276112859,2.503145973977955,7.218167671291479,DDPG::Energy_Saving_Focus
51,300,0.3140620186071057,DDPG,Energy_Saving_Focus,11,67.16059112548828,2.726100444793701,7.369785785675049,69.5127749662966,2.5269350193498616,6.803936774523612,DDPG::Energy_Saving_Focus
52,1862,0.297605665321166,DDPG,Energy_Saving_Focus,12,66.95380401611328,2.7517435550689697,7.266743659973144,67.57625376569887,2.7837816401212496,7.213391236354189,DDPG::Energy_Saving_Focus
53,216,0.2782270542030794,DDPG,Energy_Saving_Focus,13,66.76049041748047,2.769831657409668,7.445661544799805,66.3604539774766,2.730842345983717,7.477560071960253,DDPG::Energy_Saving_Focus
54,1183,0.3418456467046319,DDPG,Energy_Saving_Focus,14,67.73406219482422,2.6988651752471924,7.768986701965332,68.93685460857323,2.7201486517097537,7.24588457351469,DDPG::Energy_Saving_Focus
55,726,0.2473752224873098,DDPG,Energy_Saving_Focus,15,66.41275024414062,2.688038825988769,7.733192443847656,67.87922921416857,2.691484080718962,7.339679189874182,DDPG::Energy_Saving_Focus
56,1105,0.2161550846944431,DDPG,Energy_Saving_Focus,16,66.69766235351562,2.844285249710083,7.670559406280518,67.90339705618307,2.650096382461028,7.463040821741512,DDPG::Energy_Saving_Focus
57,356,0.3565486642335559,DDPG,Energy_Saving_Focus,17,67.69993591308594,2.67902946472168,7.22587776184082,66.48946244814026,2.6012766980485704,7.425147038353082,DDPG::Energy_Saving_Focus
58,1056,0.2640734869165424,DDPG,Energy_Saving_Focus,18,66.74332427978516,2.7378897666931152,7.5756611824035645,68.68404282974471,2.734754442388849,7.186348558923831,DDPG::Energy_Saving_Focus
59,109,0.3176058407804615,DDPG,Energy_Saving_Focus,19,67.36038208007812,2.679793119430542,7.170061111450195,70.57607443442375,2.406426418336437,6.687573011837975,DDPG::Energy_Saving_Focus
60,1700,0.1827148765448887,NSGA-II,NSGA-II,20260310,66.0,2.849999189376831,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
61,1700,0.1827257579347463,NSGA-II,NSGA-II,20260310,66.0,2.8499999046325684,7.849998950958252,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
62,1700,0.1827309325722338,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
63,1700,0.1827310272818511,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
64,1700,0.1827148740900758,NSGA-II,NSGA-II,20260310,66.0,2.849999189376831,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
65,1700,0.1827257641046745,NSGA-II,NSGA-II,20260310,66.0,2.8499999046325684,7.849998950958252,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
66,1700,0.1827311363056084,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
67,1700,0.1827308675588151,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
68,1700,0.1827311502338089,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
69,1700,0.182731082888101,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
70,1700,0.1827310891441625,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
71,1700,0.1827311348611267,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
72,1700,0.1827309834178048,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
73,1700,0.1827310465819106,NSGA-II,NSGA-II,20260310,66.00004577636719,2.8499999046325684,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
74,1700,0.1827149011226393,NSGA-II,NSGA-II,20260310,66.0,2.849999189376831,7.849999904632568,67.7190319826095,2.6420093866710683,7.456694650302293,NSGA-II
