method,scenario,seed,FAR,SD,AF,AR_ew,AR_ns,SVF,BD,OSR,SC,PAR,theta,OSLI,EUIt,EG,H,reward
NSGA-II,NSGA-II,20260310,1.7132297865718586,49.522255196470304,8.71965644969654,0.41371470910484637,2.268232205828996,0.6381418763230986,0.1820670618888833,0.4574184988432881,0.5837852078216837,0.12258125514385236,-5.4644682634217645,6.180051489399232,66.0,2.849999189376831,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132299335193841,49.52226805899404,8.71966378959222,0.4137147014893463,2.2682318605877967,0.638141875727606,0.1820670631918906,0.4574187446251915,0.5837851826453725,0.12258287554001093,-5.464474261426375,6.18005142258364,66.0,2.8499999046325684,7.849998950958252,
NSGA-II,NSGA-II,20260310,1.7132297639071663,49.5247744646965,8.71966400722896,0.4137147069258039,2.2682318647694695,0.6381418730538178,0.1820671007489934,0.45741870129559237,0.5837848958944419,0.1225830065440718,-5.464463951392489,6.180051442983318,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.713229939766867,49.52475328598969,8.719659930302786,0.41371470714335923,2.2682318739013585,0.6381418731440349,0.1820670911398566,0.457418697480665,0.5837848399042368,0.12258301046910026,-5.464471225925159,6.180051478645416,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297865718586,49.522255196470304,8.719656492700187,0.41371470910484637,2.268232203237181,0.6381418727197967,0.1820670618888833,0.4574184988432881,0.5837852078216837,0.12258125514385236,-5.4644682634217645,6.180051489399232,66.0,2.849999189376831,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132299335193841,49.52226805899404,8.719663789521213,0.4137147014893463,2.2682318605877967,0.6381418756280954,0.1820670631918906,0.4574187421749176,0.5837851826453725,0.12258287652654412,-5.464474176271835,6.18005142258364,66.0,2.8499999046325684,7.849998950958252,
NSGA-II,NSGA-II,20260310,1.7132299794888564,49.52478763877995,8.719664188509046,0.4137146997670235,2.2682316175002013,0.6381418731319172,0.1820671007742859,0.4574186966358111,0.5837848422445898,0.12258300905030335,-5.464574799150419,6.1800515327392604,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132297164391095,49.52472023449925,8.719664219392653,0.4137147012032599,2.2682318712402703,0.6381418730640092,0.1820671024392102,0.45741869772913013,0.5837848966100223,0.12258301055710734,-5.464466947440279,6.180051416614195,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.713229758880733,49.52480207013933,8.71966395613034,0.41371470692711754,2.2682319970058926,0.638141876699186,0.18206710075362106,0.45741869545952346,0.5837848959818235,0.12258300856186799,-5.464582666142711,6.180051467127088,66.00004577636719,2.8499999046325684,7.849999904632568,
NSGA-II,NSGA-II,20260310,1.7132299352690534,49.52477209614854,8.71966419847961,0.41371470691598383,2.2682319768438397,0.6381418755546522,0.1820670647623562,0.4574186944758905,0.5837848950838304,0.12258301271176392,-5.464474153610517,6.180051481134888,66.00004577636719,2.8499999046325684,7.849999904632568,
