case_id,subset,matched_sample_id,method,scenario,analytic_EUIt,analytic_EG,analytic_H,physical_EUIt,physical_EG_GHI_proxy,physical_H,projection_distance,note
physical_case_00,maximin_space_filling,27,direct_feasible,direct_feasible,72.06467347316162,2.058950193391172,7.037304518747197,69.497,0.0,6.25,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_01,maximin_space_filling,70,direct_feasible,direct_feasible,73.13952059550165,2.1409900705828697,6.799874013893476,72.824,0.0,5.6,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_02,optimizer_linked,134,NSGA-II,Energy_Generation_Focus,66.00053405761719,2.849999189376831,7.849956512451172,70.802,0.0,6.55,0.1904217599483725,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_03,low_EUIt,149,direct_feasible,direct_feasible,66.0,2.092736775867307,6.606624681351279,74.945,0.0,8.675,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_04,high_EG,237,direct_feasible,direct_feasible,66.99101535549546,2.85,7.85,73.655,0.0,6.675,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_05,high_H,359,direct_feasible,direct_feasible,66.0,2.5511687760665462,7.553954400970144,74.398,0.0,8.175,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_06,high_H,442,direct_feasible,direct_feasible,69.3861584149749,2.608668854491549,7.85,70.419,0.0,6.475,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_07,low_EUIt,506,direct_feasible,direct_feasible,66.88101481014009,2.85,7.85,73.2,0.0,6.5,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_08,interior_random,585,direct_feasible,direct_feasible,71.82832827169698,2.441351306397453,6.914304765145819,72.669,0.0,7.6,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_09,maximin_space_filling,603,direct_feasible,direct_feasible,72.33183959684335,2.394446416649633,7.469187194393195,69.782,0.0,5.175,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_10,maximin_space_filling,704,direct_feasible,direct_feasible,69.54157958788505,2.5194956419841,7.199220408380192,74.119,0.0,6.375,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_11,optimizer_linked,784,NSGA-II,Energy_Saving_Focus,66.00020599365234,2.849998712539673,7.84998893737793,73.242,0.0,7.275,0.2065987195861607,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_12,interior_random,883,direct_feasible,direct_feasible,70.58053938075265,2.426535373013266,7.102879981210026,71.234,0.0,6.5,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_13,high_EG,897,direct_feasible,direct_feasible,68.57846945430116,2.709441551347163,7.85,69.875,0.0,6.625,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_14,maximin_space_filling,1009,direct_feasible,direct_feasible,77.15828478993507,1.7612768169896589,6.006569520434968,75.343,0.0,6.525,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_15,interior_random,1052,direct_feasible,direct_feasible,70.05465310892698,2.4175664330226603,7.022679531920423,73.357,0.0,6.525,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_16,optimizer_linked,1105,DDPG,Energy_Saving_Focus,66.69766235351562,2.844285249710083,7.670559406280518,72.103,0.0,7.525,0.2161550846944431,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_17,maximin_space_filling,1499,direct_feasible,direct_feasible,66.0,2.25868436656132,6.844643797563489,75.034,0.0,8.55,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_18,optimizer_linked,1661,DDPG,Energy_Generation_Focus,66.35647583007812,2.840564489364624,7.807404518127441,73.554,0.0,6.9,0.1960553304324719,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_19,optimizer_linked,1700,NSGA-II,Balanced_Performance,66.0,2.8499999046325684,7.849998950958252,74.348,0.0,7.125,0.1827257579347463,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_20,interior_random,1771,direct_feasible,direct_feasible,70.93974492999267,2.522246926699361,7.1698297586372455,72.423,0.0,6.825,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_21,maximin_space_filling,1824,direct_feasible,direct_feasible,74.01182880772072,2.219546604812583,7.144476172960282,71.853,0.0,4.975,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_22,optimizer_linked,1981,DDPG,Balanced_Performance,67.16808319091797,2.751469135284424,7.696928024291992,74.389,0.0,6.05,0.3172990053071316,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
physical_case_23,maximin_space_filling,1984,direct_feasible,direct_feasible,76.40083771545149,1.869046884566716,6.568469249730343,70.164,0.0,6.075,0.0,EG_roof_irradiance unavailable; EG_GHI_proxy is reported for this stress-test table.
