method,scenario,rows,unique_matched_sample_count,far_residual_rate_gt_1e-8,osr_residual_rate_gt_1e-8,osli_non_integer_rate,projection_distance_mean,projection_distance_median,projection_distance_q95,duplicate_collapse_rate,projected_non_dominated_rows,projected_HV,projected_IGD,group,descriptor_HV,descriptor_IGD,projected_HV_fixed_reference,projected_IGD_fixed_reference,reference_hash,representation_family_before,representation_family_after
CMA-ES,Balanced_Performance,20,16,1.0,1.0,1.0,0.2311270533375137,0.2359200303878122,0.2703692019879475,0.1999999999999999,2,1.2962612520027308,0.4423004867072494,CMA-ES::Balanced_Performance,1.3310000000000004,0.0049455278721447,1.317850012052856,0.0430097842473616,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
CMA-ES,Energy_Generation_Focus,20,17,1.0,1.0,1.0,0.2420979274299099,0.2460474824011687,0.2636368295955477,0.15,5,0.9967082444058212,0.250631677961783,CMA-ES::Energy_Generation_Focus,1.3310000000000004,0.0049455278721447,1.2634827534083428,0.1904845834153777,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
CMA-ES,Energy_Saving_Focus,20,19,1.0,1.0,1.0,0.2390363939696155,0.2456003713539327,0.2711672907340125,0.05,2,1.1026636272397203,0.3685289235441158,CMA-ES::Energy_Saving_Focus,1.3310000000000004,0.0049455278721447,1.1912887418505136,0.1570063242832096,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
DDPG,Balanced_Performance,20,17,1.0,1.0,0.7,0.329434757595887,0.3341210701864671,0.3813369050469687,0.15,1,0.652953152802408,0.5085880533949777,DDPG::Balanced_Performance,0.6619116495196865,0.4655221291497715,0.9909897368744892,0.2154098677303174,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
DDPG,Energy_Generation_Focus,20,18,1.0,1.0,0.7,0.2928327060139853,0.2761162815254607,0.3924067160439909,0.0999999999999999,1,1.2630075464857249,0.5316298032407855,DDPG::Energy_Generation_Focus,1.170428454760511,0.0975507833051936,1.3072437602883311,0.0239630506501175,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
DDPG,Energy_Saving_Focus,20,18,1.0,1.0,0.6,0.2876656921142071,0.2942540647617936,0.3585088902619859,0.0999999999999999,2,0.0790330163796474,0.7653722430023219,DDPG::Energy_Saving_Focus,1.0027567279907523,0.2765292996900539,0.5149502574421849,0.6628302807651855,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
NSGA-II,NSGA-II,2000,51,1.0,1.0,1.0,0.1953718700382845,0.2004933917036682,0.2100546225337286,0.9745,4,1.1127203709521845,0.3120001461581652,NSGA-II,1.330999428637336,0.0049466785424699,1.2296113552662211,0.1569119933574465,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
RandomSearch,Balanced_Performance,20,20,1.0,1.0,1.0,0.3362977558716409,0.3292281464754412,0.4232016855620225,0.0,1,0.2233570040022339,0.6240144174489828,RandomSearch::Balanced_Performance,1.200068146545457,0.2192969998876758,1.3276549979202117,0.0236485977009234,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
RandomSearch,Energy_Generation_Focus,20,20,1.0,1.0,1.0,0.3291552540522449,0.3425190571209264,0.3774177602491063,0.0,2,1.2850476159670046,0.4222523595082951,RandomSearch::Energy_Generation_Focus,1.1924431333761996,0.2383949652382121,1.3276549979202117,0.0236485977009234,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
RandomSearch,Energy_Saving_Focus,20,19,1.0,1.0,1.0,0.3194524330782842,0.3238962172795562,0.3900485940484313,0.05,2,1.0924832160078648,0.3560898091621412,RandomSearch::Energy_Saving_Focus,1.1079543049679008,0.3208414421924986,1.3276549979202117,0.0236485977009234,a972173040d6682fb41b794f65befc6efcc93a1616cb405262f3ab504ddeffcc,descriptor_clipped_full_archive,projected_feasible_morphology_archive
