dataset_scale,regime_type,candidate,tuning,feature_scaler,target_scaler,loss,mean_target_mae,mean_target_nmae,mean_tail_mae,mean_tail_nmae,mean_r2,worst_target_nmae,selection_objective,model_path,cv_predictions_path,summary_path,dataset_path,dataset_meta_path,dataset_blocks_path,rows,is_selected
500,original,anchor_minmax,fixed,minmax,minmax,mae,0.1457644387880961,0.0310289597088573,0.2225927305221557,0.0455286286188638,0.9570946714284886,0.0366908024543014,0.0424111168635733,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/anchor_minmax/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/anchor_minmax/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/anchor_minmax/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_blocks.jsonl,500,False
500,original,tuned_minmax,optuna,minmax,minmax,mae,0.1095276154677073,0.0241232193944817,0.1369155164559682,0.0283395182385719,0.9742934617714284,0.0306745099178845,0.0312080989541247,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_minmax/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_minmax/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_minmax/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_blocks.jsonl,500,False
500,original,tuned_standard,optuna,standard,standard,mae,0.0982940169175465,0.02102593683309,0.1163771108786265,0.0238652149007549,0.9794581866253816,0.0276818237596727,0.0269922405582788,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_standard/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_standard/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_standard/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_blocks.jsonl,500,True
500,original,tuned_standard_huber,optuna,standard,standard,huber,0.1011910725434621,0.0216891200513537,0.1234142537911733,0.0255379385005667,0.9785642267746502,0.0277004815540866,0.0280736046764953,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_standard_huber/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_standard_huber/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_500/tuned_standard_huber/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_500/simulated_blocks.jsonl,500,False
1000,expanded,anchor_minmax,fixed,minmax,minmax,mae,0.1297254777352015,0.0267317674193009,0.1934613313277562,0.0364932120079016,0.9647344108042456,0.0324608939508265,0.0358550704212763,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/anchor_minmax/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/anchor_minmax/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/anchor_minmax/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_blocks.jsonl,1000,False
1000,expanded,tuned_minmax,optuna,minmax,minmax,mae,0.1010177579720815,0.0212708647953228,0.1177593072255452,0.0239852135171297,0.9775279650521732,0.02789876001043,0.0272671681746053,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_minmax/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_minmax/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_minmax/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_blocks.jsonl,1000,False
1000,expanded,tuned_standard,optuna,standard,standard,mae,0.09084843424956,0.0197907475788508,0.0990160828828811,0.0211533723607613,0.980295431225081,0.0265143485999332,0.0250790906690412,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_standard/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_standard/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_standard/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_blocks.jsonl,1000,False
1000,expanded,tuned_standard_huber,optuna,standard,standard,huber,0.0914801238377889,0.0197754360735115,0.1010241738955179,0.0219202250019762,0.9806116057479252,0.0262137266469652,0.0252554923240056,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_standard_huber/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_standard_huber/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1000/tuned_standard_huber/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1000/simulated_blocks.jsonl,1000,True
1500,expanded,anchor_minmax,fixed,minmax,minmax,mae,0.1258823210133446,0.0257615243340811,0.1772450416617923,0.0361789278620188,0.9655834819877648,0.0313735212070771,0.0348062562995858,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1500/anchor_minmax/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1500/anchor_minmax/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1500/anchor_minmax/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1500/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1500/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1500/simulated_blocks.jsonl,1500,False
1500,expanded,tuned_minmax,optuna,minmax,minmax,mae,0.1034498755931854,0.0210640529924947,0.125073646042082,0.0249232964724658,0.976901792176414,0.0263505203712319,0.0272948771106112,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1500/tuned_minmax/surrogate.pt,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1500/tuned_minmax/cv_predictions.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/models/surrogate_selection/scale_1500/tuned_minmax/surrogate_summary.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1500/simulated_samples.csv,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1500/simulated_samples.meta.json,artifacts/server_runs/20260405_surrogate_rebenchmark/data/regimes/scale_1500/simulated_blocks.jsonl,1500,False
